Indicator,Type,Description ,Confidence of 0ktapus Attribution,Previously Known,Activity Period
forward-icloud[.]com ,Domain,Domain hosting phishing kit used by 0ktapus ,High ,Yes ,14.8.2024
acwa-internal[.]com,Domain,"Hosted on same IP address (142.93.3[.]117) as apple-vpn[.]com, acwa-apple[.]com",Medium,Yes ,16.9.2024
twitter-okta[.]com,Domain,Hosted on same IP address (80.78.22[.]244) as okta-ouryahoo[.]com,Medium,Yes ,6.10.2024
activecampaign-hr[.]com,Domain,Phishing domain,Low,No,6.5.2024
activecampainhr[.]com,Domain,Phishing domain,Low,No,15.5.2024
block-hr[.]com,Domain,Phishing domain,High ,Yes ,18.5.2024
block-sso[.]com,Domain,Phishing domain,High ,Yes ,9.11.2023
cashsso[.]com,Domain,Phishing domain,High ,Yes ,9.11.2023
hr-gnc[.]com,Domain,Phishing domain,High ,No,7.5.2024
login.block-hr[.]com,Domain,Phishing domain,High ,Yes ,18.5.2024
uscellular-sso[.]com ,Domain,Phishing domain ,High ,Yes ,6.5.2024
sunrise-crypto[.]com,Domain,Phishing domain ,Medium,No,29.9.2024
expediagroup-servicenow[.]com ,Domain,Phishing domain Expedia group,High ,Yes ,9.6.2024
adasupport-okta[.]com,Domain,Phishing domain for Ada CX,Medium,No,15.4.2024
alchemy-okta[.]com,Domain,Phishing domain for Alchemy,Medium,No,3.4.2024
auth-alchemy[.]com,Domain,Phishing domain for Alchemy,Medium,No,3.4.2024
login.ally-hr[.]com,Domain,Phishing domain for Ally,High ,Yes ,20.4.2024
login.corporate-ally[.]com,Domain,Phishing domain for Ally,High ,Yes ,20.4.2024
amica-hr[.]com,Domain,Phishing domain for Amica,Medium,Yes ,22.4.2024
hanover-hr[.]com,Domain,Phishing domain for Amica,Medium,Yes ,22.4.2024
sharing-folders[.]com,Domain,Phishing domain for Amica,Medium,Yes ,15.4.2024
login.realogy-hr[.]com,Domain,Phishing domain for Anywhere Real Estate,High ,Yes ,5.5.2024
acwa-apple[.]com,Domain,Phishing domain for Apple,Medium,No,16.9.2024
apple-vpn[.]com,Domain,Phishing domain for Apple,Medium,No,16.9.2024
sync-apple[.]com,Domain,Phishing domain for Apple,Medium,No,19.9.2024
okta-blockdaemon[.]com,Domain,Phishing domain for Blockdaemon,Medium,No,5.3.2024
authenticate-bt[.][com,Domain,Phishing domain for BT,High ,Yes ,10.6.2024
www.authenticate-bt[.]com ,Domain,Phishing domain for BT,High ,Yes ,4.8.2024-5.8.2024
cellularsaies[.]com,Domain,Phishing domain for Cellular Sales,High ,Yes ,31.3.2024
okta. cellularsaies[.]com,Domain,Phishing domain for Cellular Sales,High ,Yes ,31.3.2024
okta.cellularsaies[.]com,Domain,Phishing domain for Cellular Sales,High ,Yes ,31.3.2024
clicksend-staging[.]com,Domain,Phishing domain for ClickSend,Medium,Yes ,29.4.2024
okta-cbhq[.]net,Domain,Phishing domain for CoinBase,High ,No,14.10.2024
commonspiritcorp-okta[.]com,Domain,Phishing domain for Common Spirit,High ,No,14.10.2024
condenast-hub-okta-emea[.]com,Domain,Phishing domain for Conde Nast,Medium,Yes ,29.9.2024
consensys-okta[.]com,Domain,Phishing domain for Consensys,Medium,Yes ,17.9.2024
corescientific-okta[.]com,Domain,Phishing domain for CoreScientific,Medium,No,29.3.2024
settings-okta[.]com,Domain,Phishing domain for CoreScientific,Medium,No,6.12.2023
docusignhq[.]net,Domain,Phishing domain for DocuSign,High ,No,14.10.2024
docusign-okta[.]com,Domain,Phishing domain for DocuSign,High ,No,14.10.2024
account.kemper-support[.]com,Domain,Phishing domain for DoorDash,High ,Yes ,19.5.2024
calendar-dd[.]com ,Domain,Phishing domain for DoorDash,Medium,No,26.9.2022
login.doordash-support[.]com ,Domain,Phishing domain for DoorDash,Medium,Yes ,19.5.2024
okta-verify[.]com ,Domain,Phishing domain for DoorDash,Low,No,2.9.2020
www[.]dashsso[.]com ,Domain,Phishing domain for DoorDash,Medium,No,17.11.2023
epic-servicedesk[.]com ,Domain,Phishing domain for Epic,High ,Yes ,20.5.2023
sso-falconx[.]com,Domain,Phishing domain for FalconX,Medium,No,6.12.2023
fico-servicenow[.]com ,Domain,Phishing domain for FICO,High ,Yes ,9.6.2024
five9-hr[.]com,Domain,Phishing domain for Five9,High ,Yes ,20.5.2024
login.five9-hr[.]com,Domain,Phishing domain for Five9,High ,Yes ,20.5.2024
corp-foundever[.]com,Domain,Phishing domain for foundever,High ,Yes ,24.3.2024
corp-foundever[.]net,Domain,Phishing domain for foundever,High ,Yes ,25.3.2024
foundever-sso[.]com,Domain,Phishing domain for foundever,High ,Yes ,24.3.2024
galaxy-okta[.]com,Domain,Phishing domain for Galaxy,Medium,No,5.12.2023
okta-gamestop[.]com,Domain,Phishing domain for GameStop,High ,No,3.10.2024
gemini-sso[.]com,Domain,Phishing domain for Gemini,High ,Yes ,6.5.2024
prntsrc[.]net,Domain,Phishing domain for Gemini,Medium,Yes ,16.5.2024
stargate-sso[.]com,Domain,Phishing domain for Gemini,High ,Yes ,6.5.2024
stargatesso-gemini[.]com,Domain,Phishing domain for Gemini,Medium,Yes ,12.10.2024
binance-us-okta[.]com,Domain,"Phishing domain for Gemini, refers to https://stargate.okta.com/help/login",High ,Yes ,20.9.2024
gofundme-okta[.]com,Domain,Phishing domain for GoFundMe,Medium,No,11.3.2024
grayscale-okta[.]com,Domain,Phishing domain for GreyScale,Medium,No,5.12.2023
grubhubsso[.]com ,Domain,Phishing domain for GrubHub,High ,Yes ,22.1.2024
grubhub-support[.]com,Domain,Phishing domain for GrubHub,High ,Yes ,19.5.2024
login.grubhub-support[.]com,Domain,Phishing domain for GrubHub,High ,Yes ,19.5.2024
corporate-huntington[.]com,Domain,Phishing domain for Huntington,High ,Yes ,20.4.2024
sso.ibexgiobal[.]com,Domain,Phishing domain for ibexgiobal,High ,Yes ,22.4.2024
intercom-hr[.]com,Domain,Phishing domain for Intercom,Medium,Yes ,15.5.2024
intercom-okta[.]com,Domain,Phishing domain for Intercom,Medium,No,5.3.2024
intercomsso[.]net,Domain,Phishing domain for Intercom,High ,Yes ,14.11.2023
login.hr-intercom[.]com,Domain,Phishing domain for Intercom,High ,No,16.5.2024
okta-intercom[.]com,Domain,Phishing domain for Intercom,High ,No,18.4.2023
itbit-okta[.]com,Domain,Phishing domain for Itbit,Medium,Yes ,5.12.2023
jacksonhewitt-service[.]com ,Domain,Phishing domain for Jackson Hewitt,High ,Yes ,20.5.2024
account.klaviyo-hr[.]com,Domain,Phishing domain for Klaviyo,High ,Yes ,16.5.2024
klaviyocorp[.]net,Domain,Phishing domain for Klaviyo,High ,Yes ,16.11.2023
klaviyo-hr[.]com,Domain,Phishing domain for Klaviyo,High ,Yes ,16.5.2024
klaviyo-vpn[.]com,Domain,Phishing domain for Klaviyo,Low,No,30.3.2023
klav-workday[.]com,Domain,Phishing domain for Klaviyo,Low,No,31.3.2023
login.klaviyo-hr[.]com,Domain,Phishing domain for Klaviyo,High ,Yes ,16.5.2024
sso-klaviyo[.]com,Domain,Phishing domain for Klaviyo,Low,No,25.3.2023
louisvuitton-okta[.]com,Domain,Phishing domain for louis Vuitton (similar to older phishing domain - louisvuitton.okta-lv[.]com),Medium,No,6.10.2024
luno-okta[.]com,Domain,Phishing domain for Luno,Medium,No,29.3.2024
dashboard-mailgun[.]com,Domain,Phishing domain for Maligun,Medium,No,14.10.2024
review-mailgun[.]com,Domain,Phishing domain for Maligun,Medium,No,3.10.2024
verify-mailgun[.]com,Domain,Phishing domain for Maligun,Medium,No,9.10.2024
okta-campaignmonitor[.]com   ,Domain,Phishing domain for MariGold,Medium,No,28.2.2024
markel-hr[.]com,Domain,Phishing domain for Markel,Medium,No,23.4.2024
mgmresorts-okta[.]com ,Domain,Phishing domain for MGM Resorts,High ,Yes ,4.8.2022
newyorklifehr[.]com,Domain,Phishing domain for New York Life Insurance Company,Medium,Yes ,24.4.2024
login.nfp-hr[.]com,Domain,Phishing domain for NFP,High ,Yes ,24.4.2024
nfp-hr[.]com,Domain,Phishing domain for NFP,High ,Yes ,24.4.2024
nike-support[.]com,Domain,Phishing domain for Nike,Medium,Yes ,14.6.2022
okta-nydig[.]com,Domain,Phishing domain for NYDIG,Medium,No,29.3.2024
okta-onsolve[.]com,Domain,Phishing domain for OnSolve,Medium,No,6.2.2024
onsolve-okta[.]com,Domain,Phishing domain for OnSolve,Medium,No,6.2.2024
paxos-okta[.]com,Domain,Phishing domain for Paxos,Medium,No,5.3.2024
login.corporate-pnc[.]com,Domain,Phishing domain for PNC,High ,Yes ,20.4.2024
cinfin-hr[.]com,Domain,Phishing domain for Podium,Medium,Yes ,22.4.2024
mercury-hr[.]com,Domain,Phishing domain for Podium,Medium,Yes ,22.4.2024
mutualofomaha-hr[.]com,Domain,Phishing domain for Podium,Medium,Yes ,22.4.2024
podium-hr[.]com,Domain,Phishing domain for Podium,Medium,Yes ,22.4.2024
revolut-ticket[.]com ,Domain,Phishing domain for revolut,High ,Yes ,4.8.2024-5.8.2024
okta-ripple[.]com,Domain,Phishing domain for Ripple,Medium,No,18.4.2024
ripple-okta[.]com,Domain,Phishing domain for Ripple,Medium,No,18.4.2024
login.rbx-hr[.]com,Domain,Phishing domain for Roblox,High ,Yes ,18.5.2024
rbx.okta[.]bio,Domain,Phishing domain for Roblox,Low,No,7.12.2024
rbx-corp[.]com,Domain,Phishing domain for Roblox,High ,Yes ,31.10.2023
rbx-hr[.]com,Domain,Phishing domain for Roblox,High ,Yes ,18.5.2024
rbxhr[.]net,Domain,Phishing domain for Roblox,High ,Yes ,27.1.2024
rbx-servicedesk[.]com,Domain,Phishing domain for Roblox,High ,Yes ,14.5.2023
roblox-hrs[.]com,Domain,Phishing domain for Roblox,High ,Yes ,27.1.2024
account.securian-hr[.]com,Domain,Phishing domain for Securian,High ,Yes ,16.5.2024
login.securian-hr[.]com,Domain,Phishing domain for Securian,High ,Yes ,16.5.2024
securian-hr[.]com,Domain,Phishing domain for Securian,High ,Yes ,16.5.2024
contact-sendgrid[.]com,Domain,Phishing domain for SendGrid,Medium,No,18.9.2024
manageactivity-sendgrid[.]com,Domain,Phishing domain for SendGrid,Medium,No,13.9.2024
sendgrid-account[.]com,Domain,Phishing domain for SendGrid,Medium,No,8.9.2024
sessions-sendgrid[.]com,Domain,Phishing domain for SendGrid,Medium,No,2.9.2024
grid-review[.]com,Domain,Phishing domain for SendGrid,Medium,No,10.9.2024
account-sendgrid[.]com,Domain,Phishing domain for SendGrid,Medium,No,9.9.2024
