Package,Malicious Version
@cacheable/utils,2.5.1
@hubsync/web-sdk-react,6.3.7
@nebula.js/nucleus,0.5.1
@ornikar/babel-preset-base,6.0.3
@ornikar/babel-preset-kitt-universal,8.0.3
@ornikar/babel-preset-react,6.1.4
@ornikar/browserslist-config,8.0.3
@ornikar/commitlint-config,8.3.2
@ornikar/eslint-config-babel,24.0.1
@ornikar/eslint-config-react,24.0.1
@ornikar/eslint-config-typescript,24.0.1
@ornikar/eslint-config-typescript-react,24.0.1
@ornikar/eslint-plugin-neverthrow,1.3.1
@ornikar/eslint-plugin-ornikar,24.0.1
@ornikar/graphql-config,1.1.1
@ornikar/intl-config,10.0.2
@ornikar/kitt2,1.0.1
@ornikar/monorepo-config,14.3.2
@ornikar/postcss-config,9.1.2
@ornikar/prettier-config,9.0.3
@ornikar/prismic-components,0.0.2
@ornikar/react-modern-calendar-datepicker,3.2.1
@ornikar/react-native-svg-transformer,1.0.6
@ornikar/renovate-config,9.0.2
@ornikar/repo-config-react,13.0.8
@ornikar/repo-config-react-legacy-css,15.1.2
@ornikar/rollup-plugin-postcss,2.0.5
@ornikar/stylelint-config,14.0.3
@ornikar/typed-css-modules-loader,0.8.2
@qlik/embed-react,2.5.3
@qlik/embed-runtime,1.6.4
@qlik/embed-web-components,1.7.3
@qlik/runtime-module-loader,1.5.1
@thiennq/docs-viewer,1.6.2
babel-plugin-linaria-css-to-undefined,0.3.1
cache-manager,7.2.10
cacheable-request,13.0.20
http-metrics-middleware,2.2.2
keyv,6.0.0
picasso-plugin-hammer,2.11.6
picasso-plugin-q,2.11.6
pob-test-package-in-monorepo,5.2.1
