Package,Versions
@zapier/zapier-sdk,"0.15.5, 0.15.6, 0.15.7"
zapier-platform-core,"18.0.2, 18.0.3, 18.0.4"
zapier-platform-cli,"18.0.2, 18.0.3, 18.0.4"
zapier-platform-schema,"18.0.2, 18.0.3, 18.0.4"
@zapier/mcp-integration,"3.0.1, 3.0.2, 3.0.3"
@zapier/secret-scrubber,"1.1.3, 1.1.4, 1.1.5"
@zapier/ai-actions-react,"0.1.12, 0.1.13, 0.1.14"
@zapier/stubtree,"0.1.2, 0.1.3, 0.1.4"
zapier-scripts,"7.8.3, 7.8.4"
@ensdomains/ens-validation,0.1.1
@ensdomains/content-hash,3.0.1
ethereum-ens,0.8.1
@ensdomains/react-ens-address,0.0.32
@ensdomains/ens-contracts,1.6.1
@ensdomains/ensjs,4.0.3
@ensdomains/dnssecoraclejs,0.2.9
@ensdomains/address-encoder,0.1.5
@posthog/agent,1.24.1
@trigo/*,Numerous packages (various versions)
@orbitgtbelgium/*,Numerous packages (various versions)
@louisle2/*,Numerous packages (various versions)
Additional ecosystem packages,"typeorm-orbit, orbit-nebula-draw-tools, atrix-mongoose, orbit-boxicons, orbit-soap, redux-forge, etc."
